site_name,latitude,longitude,site_type,population,state,source_sheet
,,,,177014,Adamawa,Summary
,,,,546973,Borno,Summary
,,,,79349,Yobe,Summary
face to face,9.263147,11.901162,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.89807,12.3030361,Returnees,Returnees,Adamawa,Data
face to face,9.26549,11.899502,IDPs,IDPs Resettled,Adamawa,Data
remotely  phone call,9.556226,12.253704,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.535633,12.175444,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.536868,12.180862,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,9.56044,12.18448,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,9.538987,12.178646,Returnees,Returnees,Adamawa,Data
face to face,9.456486,12.154671,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.42646,12.13402,Returnees,Returnees,Adamawa,Data
face to face,9.45753,12.22877,Returnees,Returnees,Adamawa,Data
face to face,9.457918,12.229334,IDPs,IDPs Resettled,Adamawa,Data
face to face,9.39895,12.3643,IDPs,IDPs Resettled,Adamawa,Data
face to face,9.459728,12.177998,IDPs,IDPs Resettled,Adamawa,Data
face to face,9.534999,12.161227,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.50061,12.10531,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.40498,11.93362,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.40353,11.91831,Returnees,Returnees,Adamawa,Data
face to face,9.385248,11.938075,IDPs,IDPs Resettled,Adamawa,Data
face to face,9.4528,12.06758,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.45328,12.06498,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.60258,12.19187,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.60257,12.19183,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,9.61466,12.19273,Returnees,Returnees,Adamawa,Data
face to face,9.30257,11.76324,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30061,11.76293,Returnees,Returnees,Adamawa,Data
face to face,9.30066,11.76239,IDPs,Integrated,Adamawa,Data
remotely  phone call,9.51105,12.1929,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,9.51182,12.20143,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.43301,12.13055,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.45024,12.04767,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.1746168,12.1954496,Returnees,Returnees,Adamawa,Data
face to face,9.06542,12.66419,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.07023,12.66263,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.15618,12.59884,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.57651,12.9007,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.58291,12.91652,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.57978,12.91659,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.5527,12.78224,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.21765,12.6543,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.21804,12.64191,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.20771,12.67751,IDPs,IDPs in camp,Adamawa,Data
face to face,9.21765,12.6543,IDPs,IDPs in camp,Adamawa,Data
face to face,9.09661,12.87983,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.11495,12.8832,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.10845,12.88559,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.11392,12.86973,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.11014,12.88028,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.14598,12.35287,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.37723,12.70282,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.41825,12.59718,IDPs,IDPs in camp,Adamawa,Data
face to face,9.4212,12.5971,IDPs,IDPs in camp,Adamawa,Data
face to face,9.29598,12.79633,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.29717,12.71503,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30652,12.72032,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.267427,12.068349,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.4316,12.053114,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.457648,12.039876,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.445773,12.045286,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.451662,12.051298,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.432025,12.063586,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.445899,12.059015,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.437966,12.051706,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.441018,12.058316,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.448803,12.058655,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.454662,12.058466,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.432826,12.048829,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.430631,12.046884,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.439187,12.038598,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.37048,12.067046,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.33472,12.45766,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.33412,12.4721,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.31808,12.47898,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30316,12.46516,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.31853,12.45172,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.31599,12.44461,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.31334,12.46029,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30584,12.47189,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30613,12.4846,IDPs,IDPs in camp,Adamawa,Data
face to face,9.31974,12.44136,IDPs,IDPs in camp,Adamawa,Data
face to face,9.48596,12.30687,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.45632,12.35625,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.48598,12.30689,Returnees,Returnees,Adamawa,Data
face to face,9.33938,12.50727,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.33893,12.5085,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.34431,12.51341,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.34264,12.51707,IDPs,IDPs in camp,Adamawa,Data
face to face,9.35204,12.51312,IDPs,IDPs in camp,Adamawa,Data
face to face,9.35209,12.51223,IDPs,IDPs in camp,Adamawa,Data
face to face,9.37582,12.55931,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.37211,12.55222,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.36791,12.55256,IDPs,IDPs in camp,Adamawa,Data
face to face,9.505,12.491,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.50503,12.49995,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.53353,12.49816,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.53271,12.50146,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30444,12.48875,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.29134,12.48012,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.29147,12.49431,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30552,12.48633,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.29912,12.48469,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.3098766,12.4870902,IDPs,IDPs in camp,Adamawa,Data
face to face,9.50011,12.56769,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.48339,12.58191,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.49888,12.576,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.30329,12.47378,IDPs,IDPs in camp,Adamawa,Data
face to face,10.101537,12.34784,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.12613,12.33882,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.13113,12.39603,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.15331,12.40217,Returnees,Returnees,Adamawa,Data
face to face,10.16977,12.73464,Returnees,Returnees,Adamawa,Data
face to face,10.12192,12.33897,Returnees,Returnees,Adamawa,Data
face to face,10.12193,12.33896,Returnees,Returnees,Adamawa,Data
face to face,10.13192,12.43897,Returnees,Returnees,Adamawa,Data
face to face,10.25422,12.52978,Returnees,Returnees,Adamawa,Data
face to face,10.2544,12.52977,Returnees,Returnees,Adamawa,Data
