name,latitude,longitude,type
Kulp Bible School,10.327314,13.170123,school
Model Primary School Tudunsaibu,9.100000,12.533333,school
Command Secondary School,10.444321,7.423630,school
DOMINION CHILDREN ACADEMY,6.360830,5.581611,school
Glisten Academy,9.077921,7.402321,school
Army Children School Iwo-Road,7.405403,3.936274,school
Bishop Philip Academy,7.405446,3.946241,school
Garrick Memorial Secondary School,6.331469,5.602005,school
Holy Trinity School,6.463999,3.387442,school
Fourier International Montessori School,6.496842,3.373224,school
Sheraton School,6.487328,3.375429,school
Soro Montessori Nusery School,6.489656,3.377225,school
St. Saviours Nusery School Complex,6.489265,3.376301,school
Trust Nusery and Primary School,6.494735,3.373668,school
"St Anthony's Primary School, Umudioka",6.162479,6.919051,school
Useh Secondary School,6.366895,5.571954,school
ASCL Staff Comprehensive Secondary School III,7.552791,6.629909,school
ASCL Staff Comprehensive Secondary School II,7.554026,6.644980,school
,7.555360,6.634774,school
,7.543522,6.683548,school
,7.564540,6.601635,school
Ajaokuta Indian Language School,7.557084,6.600841,school
ASCL Staff Secondary School I,7.549620,6.600162,school
Queen Amina College,10.476237,7.421158,school
Dambo Sixth Form College,10.480374,7.419441,school
,6.534435,3.394410,school
Holy spirit Catholic School,6.371390,5.635697,school
Kings Citadel Seminary School,6.365373,5.624668,school
King's and Queen's Education Centre,6.366627,5.629554,school
Oxonian Grand Academy,6.369736,5.628702,school
Unicent Group of Schools,6.367513,5.635442,school
Blessed St. Paul Memorial Group of Schools,6.365575,5.587010,school
Destiny Education Centre,6.371252,5.586712,school
Divine Light Group of Schools,6.356131,5.572296,school
EWEKA PRIMARY SCHOOL,6.362561,5.582934,school
Imuagbonhen Memoral School,6.361854,5.575063,school
Jayfield Int'l high School,6.365404,5.568687,school
Learn Well International Group of Schools,6.364080,5.581479,school
New Life In Christ Group of Schools,6.362815,5.578038,school
Standard School,6.363398,5.588697,school
St. Phillips Education School,6.361707,5.576699,school
Useh Primary Health Care,6.366769,5.578400,school
Ayela Uwangue School,6.359844,5.626251,school
Bravura Secondary School,6.363162,5.631597,school
Unicent Group of School,6.361225,5.631830,school
Utimate Schools,6.382700,5.633447,school
Christ for All Ministry,6.366540,5.585962,school
Dominion Children Academy,6.360944,5.581691,school
Eweka Primary School,6.362636,5.583084,school
Goberts School,6.365905,5.583477,school
St Paul Memorial Secondary School,6.365614,5.586415,school
UNIFAC Group of School,6.360240,5.584804,school
Benhill Vocational Training Centre,6.317907,5.623212,school
Command Children School,6.312518,5.620225,school
Ebenezer Schools,6.308887,5.618255,school
F.s.p Creche Nusary and primary School,6.312345,5.623325,school
Fresh Olive School,6.308847,5.622323,school
Inomwan Fundation Secondary School,6.310765,5.626998,school
Inomwan Fundation Secondary School,6.311079,5.627563,school
Metropolitan Institute of Technology,6.304569,5.625294,school
Redeemer Int. Group of School,6.306267,5.626340,school
St Mary Dedidcation Brithish School,6.311777,5.627816,school
"Federal government college, Ibillo",7.448418,6.059938,school
"Ibillo primary school, Ibillo",7.435738,6.071390,school
"Oyekpa primary school, Ekpesa",7.424097,6.073612,school
Abundant Grace School,6.308144,5.609752,school
Airforce Pry Sch,6.302070,5.591959,school
Amena International School,6.306020,5.600574,school
Arinze Primary School,6.321686,5.632246,school
Bro Pius School,6.328231,5.612881,school
Diamond School Academy,6.305052,5.603963,school
Ekhaguere Primary School,6.295617,5.600429,school
Emanuel Foundation School,6.307666,5.597479,school
Esonere model primary school/Gaorge Idah,6.310092,5.615317,school
Esonere model primary school/Gaorge Idah,6.310194,5.614926,school
Ezoti Primary School,6.328377,5.616700,school
Favour Group Of School,6.332630,5.630474,school
Great Oxford Int. Group Of Schools,6.326564,5.632584,school
Greter Tomorow Secondary School,6.301557,5.604831,school
Greter tomorro nurstry and primary school,6.310184,5.617772,school
Holy Mary Comprehensive College,6.323513,5.631012,school
Jessilac Montesory School,6.288637,5.596605,school
Kenzia Group of School,6.297652,5.586342,school
Lovers of Christ Academy,6.307346,5.612333,school
Milkon institute of information technology,6.313098,5.615631,school
Ogbe Primary School,6.330120,5.616384,school
Phelim School,6.303032,5.619727,school
South Point Royal School,6.322755,5.613029,school
Uvbi Primary School,6.327669,5.634085,school
Uwa Primary School,6.329603,5.633653,school
Winrose Group Of School,6.319991,5.632357,school
Zion Faith Group Of Schools,6.327763,5.630385,school
Omupo Grammar School,8.282392,4.783344,school
St Michael Primary School,8.277577,4.790758,school
LGEA Muslim Pry School,8.271780,4.798947,school
Sheik Muhammad Awwal School,8.275467,4.793081,school
Oyelagbawo Grammar School,8.327702,4.815579,school
LGEA Primary School,8.298061,4.804004,school
LGEA Primary School,8.320733,4.830122,school
Arisen Grace & Faith Schools,6.329559,5.632016,school
Asoro Primary School,6.330585,5.625821,school
Greater Tomorrow Group of Schools,6.301399,5.605015,school
Nigeria Prisons Staff Nursery/Primary/Secondary School,6.294637,5.595481,school
Word Sworth Gifted School,6.299001,5.607627,school
Firm Foundation Adult Education Center,6.336164,5.632120,school
Igbesamwan Model Primary School,6.333199,5.631593,school
Oredo Girls Junior/ Senior Secondary School,6.323529,5.629839,school
Oza Primary School,6.332929,5.629848,school
Prime Meridian School,6.307295,5.611681,school
Royal Foundation School,6.312948,5.607564,school
ST. Mary Dedication Education Centre,6.321911,5.617372,school
The Jesus Missionary International School,6.332840,5.631078,school
Unique Touch School,6.310389,5.597788,school
Wilbraham Nursery/ pry School,6.314507,5.601133,school
Kawo Primary,11.981857,8.571814,school
,6.596730,3.340141,school
,10.260582,11.171160,school
Autie Rose Foundation Group of Schools,6.341814,5.602508,school
Ezomo Primary School,6.342365,5.600526,school
Word of Faith Group of Schools,6.341201,5.602443,school
Faithland group of school,6.328990,5.593622,school
Franej group of school,6.325886,5.591752,school
Young scholars academy school,6.325629,5.593737,school
Pame Group of Schools,6.340536,5.611326,school
Unival Computer School,6.343541,5.611569,school
Uyiosa Nursery/Primary School,6.339782,5.611320,school
Diamond care nursery and primary school,6.325968,5.599496,school
Southern Academy,6.330778,5.598352,school
Young ScholarAcademy Secondry School,6.329575,5.598731,school
Dadu primary school,6.334318,5.596054,school
Amazing grace nur/pry,6.333695,5.608583,school
Malachi Memorial school,6.330703,5.607385,school
Newsky international secondary school,6.347597,5.597325,school
Legacy Nursery & Primary School,6.323932,5.601228,school
Pencil Nursery/ Primary,6.334411,5.604558,school
Omo group of schools,6.326890,5.628951,school
Eware Primary School,6.344436,5.608800,school
Legend School,6.343104,5.609962,school
Royal Kiddies Academy,6.345021,5.607820,school
Unibound International Group of School,6.343980,5.607209,school
