state,lga,year,count,deaths
Abia state,,2016,3,15
Abia state,,2019,2,2
Abia state,,2020,2,2
Abia state,,2021,2,0
Abia state,,2022,1,1
Abia state,,2023,4,4
Abia state,,2024,4,15
Abia state,Aba North lga,2022,1,0
Abia state,Aba lga,2000,3,51
Abia state,Arochukwu lga,2021,1,3
Abia state,Arochukwu lga,2024,3,16
Abia state,Isiala Ngwa North lga,2020,1,1
Abia state,Isuikwuato lga,2024,1,1
Abia state,Ohafia lga,2011,1,0
Abia state,Ohafia lga,2022,2,12
Abia state,Ohafia lga,2024,2,2
Abia state,Umu-Nneochi lga,2023,1,0
Abia state,Umu-Nneochi lga,2024,3,7
Abia state,Umuahia South lga,2021,1,0
Abia state,Umuahia South lga,2024,1,3
Adamawa state,,2004,1,30
Adamawa state,,2009,1,0
Adamawa state,,2011,2,9
Adamawa state,,2012,2,3
Adamawa state,,2013,2,12
Adamawa state,,2014,4,41
Adamawa state,,2015,1,0
Adamawa state,,2020,1,1
Adamawa state,,2022,4,40
Adamawa state,,2023,3,108
Adamawa state,,2024,1,3
Adamawa state,Demsa lga,2012,1,0
Adamawa state,Demsa lga,2016,2,21
Adamawa state,Demsa lga,2017,4,43
Adamawa state,Demsa lga,2018,3,44
Adamawa state,Demsa lga,2019,1,4
Adamawa state,Demsa lga,2024,1,8
Adamawa state,Ganye lga,2013,1,0
Adamawa state,Girei lga,2016,2,38
Adamawa state,Girei lga,2017,3,5
Adamawa state,Girei lga,2018,6,16
Adamawa state,Girei lga,2019,3,0
Adamawa state,Gombi lga,2011,1,20
Adamawa state,Gombi lga,2013,3,9
Adamawa state,Gombi lga,2014,7,38
Adamawa state,Gombi lga,2015,2,28
Adamawa state,Gombi lga,2016,1,13
Adamawa state,Gombi lga,2017,1,7
Adamawa state,Gombi lga,2020,2,14
Adamawa state,Gombi lga,2023,1,2
Adamawa state,Guyuk lga,2015,1,4
Adamawa state,Guyuk lga,2022,1,13
Adamawa state,Hong lga,2014,9,81
Adamawa state,Hong lga,2015,8,84
Adamawa state,Hong lga,2017,1,2
Adamawa state,Hong lga,2021,2,35
Adamawa state,Hong lga,2023,1,2
Adamawa state,Lamurde lga,2012,2,10
Adamawa state,Lamurde lga,2018,2,19
Adamawa state,Lamurde lga,2020,3,58
Adamawa state,Lamurde lga,2022,2,17
Adamawa state,Madagali lga,2012,3,8
Adamawa state,Madagali lga,2014,21,467
Adamawa state,Madagali lga,2015,22,191
Adamawa state,Madagali lga,2016,7,81
Adamawa state,Madagali lga,2017,16,58
Adamawa state,Madagali lga,2018,10,37
Adamawa state,Madagali lga,2019,8,57
Adamawa state,Madagali lga,2020,2,3
Adamawa state,Madagali lga,2021,3,9
Adamawa state,Madagali lga,2024,2,4
Adamawa state,Maiha lga,2012,2,7
Adamawa state,Maiha lga,2013,1,0
Adamawa state,Maiha lga,2014,2,85
Adamawa state,Maiha lga,2015,1,1
Adamawa state,Maiha lga,2020,1,1
Adamawa state,Mayo-Belwa lga,2008,1,4
Adamawa state,Michika lga,2013,1,4
Adamawa state,Michika lga,2014,17,517
Adamawa state,Michika lga,2015,3,26
Adamawa state,Michika lga,2017,1,4
Adamawa state,Michika lga,2018,1,1
Adamawa state,Michika lga,2019,1,5
Adamawa state,Michika lga,2020,3,22
Adamawa state,Mubi North lga,2012,6,24
Adamawa state,Mubi North lga,2013,4,23
Adamawa state,Mubi North lga,2014,11,354
Adamawa state,Mubi North lga,2017,1,56
Adamawa state,Mubi North lga,2018,1,42
Adamawa state,Numan lga,2003,1,10
Adamawa state,Numan lga,2004,1,132
Adamawa state,Numan lga,2017,7,94
Adamawa state,Numan lga,2018,9,60
Adamawa state,Song lga,2003,1,100
Adamawa state,Song lga,2018,1,10
Adamawa state,Yola North lga,2008,2,3
Adamawa state,Yola North lga,2012,2,14
Adamawa state,Yola North lga,2015,4,120
Adamawa state,Yola South lga,2014,1,4
Adamawa state,Yola South lga,2018,1,1
Akwa Ibom state,,2000,1,45
Akwa Ibom state,,2012,1,4
Akwa Ibom state,Eastern Obolo lga,1995,1,1
Akwa Ibom state,Eket lga,2011,1,1
Akwa Ibom state,Eket lga,2016,1,4
Akwa Ibom state,Esit-Eket lga,2021,1,8
Akwa Ibom state,Essien Udim lga,2021,3,8
Akwa Ibom state,Etim-Ekpo lga,2017,3,17
Akwa Ibom state,Etim-Ekpo lga,2021,1,0
Akwa Ibom state,Ibesikpo-Asutan lga,2011,1,2
Akwa Ibom state,Ibiono Ibom lga,2011,2,4
Akwa Ibom state,Ikono lga,2021,1,2
Akwa Ibom state,Ikot Ekpene lga,2011,2,4
Akwa Ibom state,Ini lga,2021,1,6
Akwa Ibom state,Itu lga,2016,1,4
Akwa Ibom state,Itu lga,2017,2,17
Akwa Ibom state,Itu lga,2022,1,3
Akwa Ibom state,Mbo lga,1992,1,0
Akwa Ibom state,Mbo lga,1994,1,0
Akwa Ibom state,Mbo lga,2024,1,2
Akwa Ibom state,Nsit-Atai lga,2011,1,1
Akwa Ibom state,Onna lga,2019,1,3
Akwa Ibom state,Oron lga,2011,1,0
Akwa Ibom state,Oruk Anam lga,2020,5,8
Akwa Ibom state,Uruan lga,2011,1,3
Akwa Ibom state,Uruan lga,2017,1,0
Akwa Ibom state,Uyo lga,2023,1,1
Anambra state,,2000,2,31
Anambra state,,2001,3,47
Anambra state,,2002,5,63
Anambra state,,2005,3,7
Anambra state,,2006,4,80
Anambra state,,2007,1,1
Anambra state,,2011,1,0
Anambra state,,2014,1,1
Anambra state,,2015,2,7
Anambra state,,2016,3,27
Anambra state,,2019,1,2
Anambra state,,2021,2,2
Anambra state,,2022,1,2
Anambra state,,2023,2,1
Anambra state,,2024,6,9
Anambra state,Aguata lga,2021,1,2
Anambra state,Aguata lga,2022,1,0
Anambra state,Aguata lga,2024,2,3
Anambra state,Anambra East lga,1999,2,420
Anambra state,Anambra East lga,2023,1,5
Anambra state,Anambra West lga,2019,2,6
Anambra state,Anambra West lga,2023,1,1
Anambra state,Anaocha lga,2018,1,1
Anambra state,Awka North lga,2000,1,1
Anambra state,Awka North lga,2008,1,4
Anambra state,Awka South lga,2008,1,3
Anambra state,Awka South lga,2017,2,2
Anambra state,Awka South lga,2018,1,16
Anambra state,Awka South lga,2021,2,4
Anambra state,Awka South lga,2024,8,23
Anambra state,Dunukofia lga,2024,1,0
Anambra state,Ekwusigo lga,2022,1,0
Anambra state,Idemili North lga,2019,1,2
Anambra state,Idemili North lga,2020,1,2
Anambra state,Idemili North lga,2021,1,0
Anambra state,Idemili North lga,2022,1,0
Anambra state,Idemili North lga,2023,2,8
Anambra state,Idemili North lga,2024,1,0
Anambra state,Idemili South lga,2021,2,5
Anambra state,Idemili South lga,2024,1,1
Anambra state,Ihiala lga,2001,1,10
Anambra state,Ihiala lga,2021,4,5
Anambra state,Ihiala lga,2022,6,12
Anambra state,Ihiala lga,2023,4,8
Anambra state,Ihiala lga,2024,7,11
Anambra state,Nnewi North lga,2018,1,1
Anambra state,Nnewi North lga,2021,1,2
Anambra state,Nnewi North lga,2024,1,0
Anambra state,Nnewi South lga,2018,1,1
Anambra state,Nnewi South lga,2022,2,0
Anambra state,Nnewi South lga,2023,2,6
Anambra state,Nnewi South lga,2024,1,1
Anambra state,Ogbaru lga,2022,3,35
Anambra state,Onitsha North lga,2006,1,5
Anambra state,Onitsha South lga,2023,1,4
Anambra state,Orumba North lga,2022,1,0
Anambra state,Orumba South lga,2022,1,2
Anambra state,Orumba South lga,2024,1,2
Anambra state,Oyi lga,2021,2,6
Anambra state,Oyi lga,2023,3,15
Bauchi state,,2009,1,11
Bauchi state,,2011,2,7
Bauchi state,,2012,2,1
Bauchi state,,2014,1,10
Bauchi state,Alkeri lga,2011,2,8
Bauchi state,Alkeri lga,2023,1,1
Bauchi state,Bauchi lga,1991,1,75
Bauchi state,Bauchi lga,2006,2,25
Bauchi state,Bauchi lga,2007,2,7
Bauchi state,Bauchi lga,2009,2,53
Bauchi state,Bauchi lga,2010,3,6
Bauchi state,Bauchi lga,2011,3,22
Bauchi state,Bauchi lga,2012,6,31
Bauchi state,Bauchi lga,2013,1,0
Bauchi state,Bauchi lga,2014,3,10
Bauchi state,Bauchi lga,2019,1,3
Bauchi state,Bauchi lga,2020,1,2
Bauchi state,Bogoro lga,2011,2,0
Bauchi state,Bogoro lga,2012,1,3
Bauchi state,Darazo lga,2011,1,0
Bauchi state,Darazo lga,2013,1,0
Bauchi state,Darazo lga,2014,1,10
Bauchi state,Gamawa lga,2011,1,1
Bauchi state,Giade lga,2011,2,6
Bauchi state,Itas/Gadau lga,2011,1,6
Bauchi state,Jama'are lga,2012,1,3
Bauchi state,Katagum lga,2011,2,12
Bauchi state,Katagum lga,2014,3,32
Bauchi state,Misau lga,2011,1,5
Bauchi state,Ningi lga,2013,1,1
Bauchi state,Tafawa Balewa lga,1991,1,75
Bauchi state,Tafawa Balewa lga,2010,1,0
Bauchi state,Tafawa Balewa lga,2011,3,41
Bauchi state,Tafawa Balewa lga,2012,2,6
Bauchi state,Tafawa Balewa lga,2014,1,0
Bauchi state,Tafawa Balewa lga,2015,1,0
Bauchi state,Tafawa Balewa lga,2024,1,1
Bauchi state,Toro lga,2010,1,0
Bauchi state,Toro lga,2014,1,0
Bauchi state,Toro lga,2024,1,1
Bayelsa state,,1999,1,0
Bayelsa state,Brass lga,2002,1,2
Bayelsa state,Ekeremor lga,1997,1,3
Bayelsa state,Ekeremor lga,2003,1,2
Bayelsa state,Ekeremor lga,2004,1,7
Bayelsa state,Kolokuma-Opokuma lga,1998,1,10
Bayelsa state,Kolokuma-Opokuma lga,1999,6,2485
Bayelsa state,Kolokuma/Opokuma lga,2011,1,14
Bayelsa state,Nembe lga,1999,1,3
Bayelsa state,Nembe lga,2000,1,2
Bayelsa state,Nembe lga,2002,2,39
Bayelsa state,Nembe lga,2003,1,31
Bayelsa state,Nembe lga,2016,1,2
Bayelsa state,Nembe lga,2019,2,1
Bayelsa state,Sagbama lga,1999,1,8
Bayelsa state,Sagbama lga,2019,1,1
Bayelsa state,Southern Ijaw lga,2003,1,10
Bayelsa state,Southern Ijaw lga,2008,1,3
Bayelsa state,Southern Ijaw lga,2012,1,1
Bayelsa state,Southern Ijaw lga,2016,1,6
Bayelsa state,Southern Ijaw lga,2019,1,2
Bayelsa state,Yenagoa lga,1998,2,9
Bayelsa state,Yenagoa lga,1999,3,4
Bayelsa state,Yenagoa lga,2008,2,3
Bayelsa state,Yenagoa lga,2009,2,5
Bayelsa state,Yenagoa lga,2011,4,9
Bayelsa state,Yenagoa lga,2012,2,2
Bayelsa state,Yenagoa lga,2020,3,7
Bayelsa state,Yenagoa lga,2022,6,9
Bayelsa state,Yenagoa lga,2024,2,2
Benue state,,2001,1,481
Benue state,,2013,1,20
Benue state,,2018,1,31
Benue state,Ado lga,2021,2,35
Benue state,Ado lga,2022,1,30
Benue state,Ado lga,2024,1,4
Benue state,Agatu lga,2013,11,114
Benue state,Agatu lga,2014,3,7
Benue state,Agatu lga,2015,4,163
Benue state,Agatu lga,2016,11,105
Benue state,Agatu lga,2018,2,4
Benue state,Agatu lga,2019,2,42
Benue state,Agatu lga,2021,4,40
Benue state,Agatu lga,2022,1,0
Benue state,Agatu lga,2023,2,4
Benue state,Agatu lga,2024,11,64
Benue state,Apa lga,2016,1,17
Benue state,Apa lga,2024,1,15
Benue state,Buruku lga,2016,4,30
Benue state,Buruku lga,2017,2,8
Benue state,Gboko lga,1998,1,32
Benue state,Gboko lga,2018,1,7
Benue state,Guma lga,2011,7,141
Benue state,Guma lga,2013,11,114
Benue state,Guma lga,2014,5,13
Benue state,Guma lga,2015,2,12
Benue state,Guma lga,2017,1,4
Benue state,Guma lga,2018,26,142
Benue state,Guma lga,2019,3,2
Benue state,Guma lga,2020,9,18
Benue state,Guma lga,2021,8,51
Benue state,Guma lga,2022,16,77
Benue state,Guma lga,2023,19,103
Benue state,Gwer East lga,2010,1,4
Benue state,Gwer East lga,2014,1,7
Benue state,Gwer East lga,2017,2,8
Benue state,Gwer East lga,2018,2,16
Benue state,Gwer East lga,2024,1,16
Benue state,Gwer West lga,2011,1,27
Benue state,Gwer West lga,2012,9,50
Benue state,Gwer West lga,2013,2,2
Benue state,Gwer West lga,2014,1,2
Benue state,Gwer West lga,2018,4,7
Benue state,Gwer West lga,2019,1,4
Benue state,Gwer West lga,2020,2,3
Benue state,Gwer West lga,2021,8,43
Benue state,Gwer West lga,2022,3,8
Benue state,Gwer West lga,2023,6,25
Benue state,Gwer West lga,2024,3,13
Benue state,Katsina-Ala lga,2001,1,6
Benue state,Katsina-Ala lga,2005,1,14
Benue state,Katsina-Ala lga,2019,6,37
Benue state,Katsina-Ala lga,2021,1,6
Benue state,Katsina-Ala lga,2023,1,25
Benue state,Konisha lga,2021,2,33
Benue state,Kwande lga,2003,2,17
Benue state,Kwande lga,2004,10,439
Benue state,Kwande lga,2005,1,2
Benue state,Kwande lga,2014,1,0
Benue state,Kwande lga,2017,5,24
Benue state,Kwande lga,2018,1,7
Benue state,Kwande lga,2019,1,2
Benue state,Kwande lga,2020,3,11
Benue state,Kwande lga,2022,2,10
Benue state,Kwande lga,2023,1,37
Benue state,Kwande lga,2024,3,24
Benue state,Logo lga,2011,2,6
Benue state,Logo lga,2014,6,22
Benue state,Logo lga,2015,4,40
Benue state,Logo lga,2016,10,76
Benue state,Logo lga,2017,3,18
Benue state,Logo lga,2018,25,101
Benue state,Logo lga,2019,3,9
Benue state,Logo lga,2020,1,0
Benue state,Logo lga,2022,6,23
Benue state,Logo lga,2023,5,12
Benue state,Logo lga,2024,9,63
Benue state,Makurdi lga,2005,1,1
Benue state,Makurdi lga,2008,1,1
Benue state,Makurdi lga,2011,2,3
Benue state,Makurdi lga,2012,1,30
Benue state,Makurdi lga,2013,3,35
Benue state,Makurdi lga,2014,2,5
Benue state,Makurdi lga,2016,1,10
Benue state,Makurdi lga,2017,1,3
Benue state,Makurdi lga,2018,1,2
Benue state,Makurdi lga,2020,1,4
Benue state,Makurdi lga,2021,3,14
Benue state,Makurdi lga,2022,2,5
Benue state,Makurdi lga,2023,1,9
Benue state,Makurdi lga,2024,4,7
Benue state,Ohimini lga,2017,1,15
Benue state,Okpokwu lga,2013,1,1
Benue state,Okpokwu lga,2017,1,5
Benue state,Okpokwu lga,2018,2,31
Benue state,Okpokwu lga,2022,1,15
Benue state,Oturkpo lga,2013,1,3
Benue state,Oturkpo lga,2017,2,4
Benue state,Oturkpo lga,2023,2,54
Benue state,Oturkpo lga,2024,5,19
Benue state,Tarka lga,2012,1,1
Benue state,Tarka lga,2022,1,9
Benue state,Ukum lga,2001,6,197
Benue state,Ukum lga,2015,1,0
Benue state,Ukum lga,2016,4,66
Benue state,Ukum lga,2018,4,37
Benue state,Ukum lga,2019,4,12
Benue state,Ukum lga,2020,1,3
Benue state,Ukum lga,2022,1,36
Benue state,Ukum lga,2023,8,63
Benue state,Ukum lga,2024,2,120
Borno state,,2009,1,0
Borno state,,2010,2,2
Borno state,,2011,4,7
Borno state,,2012,2,1
Borno state,,2013,13,129
Borno state,,2014,22,321
Borno state,,2015,27,661
Borno state,,2016,40,357
Borno state,,2017,25,454
Borno state,,2018,28,142
Borno state,,2019,37,108
Borno state,,2020,71,297
Borno state,,2021,40,372
Borno state,,2022,37,520
Borno state,,2023,34,260
Borno state,,2024,37,512
Borno state,Abadam lga,2013,2,35
Borno state,Abadam lga,2014,6,67
Borno state,Abadam lga,2015,8,422
Borno state,Abadam lga,2016,10,512
Borno state,Abadam lga,2017,11,279
Borno state,Abadam lga,2018,26,247
Borno state,Abadam lga,2019,22,125
Borno state,Abadam lga,2020,20,48
Borno state,Abadam lga,2021,19,172
