state,year,count,deaths
Abia state,2000,3,51
Abia state,2011,1,0
Abia state,2016,3,15
Abia state,2019,2,2
Abia state,2020,3,3
Abia state,2021,4,3
Abia state,2022,4,13
Abia state,2023,5,4
Abia state,2024,14,44
Adamawa state,2003,2,110
Adamawa state,2004,2,162
Adamawa state,2008,3,7
Adamawa state,2009,1,0
Adamawa state,2011,3,29
Adamawa state,2012,18,66
Adamawa state,2013,12,48
Adamawa state,2014,72,1587
Adamawa state,2015,42,454
Adamawa state,2016,12,153
Adamawa state,2017,34,269
Adamawa state,2018,34,230
Adamawa state,2019,13,66
Adamawa state,2020,12,99
Adamawa state,2021,5,44
Adamawa state,2022,7,70
Adamawa state,2023,5,112
Adamawa state,2024,4,15
Akwa Ibom state,1992,1,0
Akwa Ibom state,1994,1,0
Akwa Ibom state,1995,1,1
Akwa Ibom state,2000,1,45
Akwa Ibom state,2011,9,15
Akwa Ibom state,2012,1,4
Akwa Ibom state,2016,2,8
Akwa Ibom state,2017,6,34
Akwa Ibom state,2019,1,3
Akwa Ibom state,2020,5,8
Akwa Ibom state,2021,7,24
Akwa Ibom state,2022,1,3
Akwa Ibom state,2023,1,1
Akwa Ibom state,2024,1,2
Anambra state,1999,2,420
Anambra state,2000,3,32
Anambra state,2001,4,57
Anambra state,2002,5,63
Anambra state,2005,3,7
Anambra state,2006,5,85
Anambra state,2007,1,1
Anambra state,2008,2,7
Anambra state,2011,1,0
Anambra state,2014,1,1
Anambra state,2015,2,7
Anambra state,2016,3,27
Anambra state,2017,2,2
Anambra state,2018,4,19
Anambra state,2019,4,10
Anambra state,2020,1,2
Anambra state,2021,15,26
Anambra state,2022,17,51
Anambra state,2023,16,48
Anambra state,2024,29,50
Bauchi state,1991,2,150
Bauchi state,2006,2,25
Bauchi state,2007,2,7
Bauchi state,2009,3,64
Bauchi state,2010,5,6
Bauchi state,2011,20,108
Bauchi state,2012,12,44
Bauchi state,2013,3,1
Bauchi state,2014,10,62
Bauchi state,2015,1,0
Bauchi state,2019,1,3
Bauchi state,2020,1,2
Bauchi state,2023,1,1
Bauchi state,2024,2,2
Bayelsa state,1997,1,3
Bayelsa state,1998,3,19
Bayelsa state,1999,12,2500
Bayelsa state,2000,1,2
Bayelsa state,2002,3,41
Bayelsa state,2003,3,43
Bayelsa state,2004,1,7
Bayelsa state,2008,3,6
Bayelsa state,2009,2,5
Bayelsa state,2011,5,23
Bayelsa state,2012,3,3
Bayelsa state,2016,2,8
Bayelsa state,2019,4,4
Bayelsa state,2020,3,7
