name,latitude,longitude,type
"Kulp Bible School","10.3273135","13.1701230","school"
"Model Primary School Tudunsaibu","9.1000000","12.5333330","school"
"Command Secondary School","10.4443208","7.4236304","school"
"DOMINION CHILDREN ACADEMY","6.3608305","5.5816113","school"
"Glisten Academy","9.0779206","7.4023209","school"
"Army Children School Iwo-Road","7.4054032","3.9362737","school"
"Bishop Philip Academy","7.4054458","3.9462407","school"
"Garrick Memorial Secondary School","6.3314690","5.6020053","school"
"Holy Trinity School","6.4639987","3.3874419","school"
"Fourier International Montessori School","6.4968417","3.3732238","school"
"Sheraton School","6.4873282","3.3754294","school"
"Soro Montessori Nusery School","6.4896556","3.3772247","school"
"St. Saviours Nusery School Complex","6.4892649","3.3763014","school"
"Trust Nusery and Primary School","6.4947351","3.3736683","school"
"St Anthony's Primary School, Umudioka","6.1624793","6.9190513","school"
"Useh Secondary School","6.3668950","5.5719540","school"
"ASCL Staff Comprehensive Secondary School III","7.5527913","6.6299089","school"
"ASCL Staff Comprehensive Secondary School II","7.5540263","6.6449797","school"
"","7.5553598","6.6347745","school"
"","7.5435221","6.6835478","school"
"","7.5645400","6.6016352","school"
"Ajaokuta Indian Language School","7.5570842","6.6008411","school"
"ASCL Staff Secondary School I","7.5496203","6.6001617","school"
"Queen Amina College","10.4762373","7.4211579","school"
"Dambo Sixth Form College","10.4803745","7.4194407","school"
"","6.5344350","3.3944101","school"
"Holy spirit Catholic School","6.3713900","5.6356968","school"
"Kings Citadel Seminary School","6.3653732","5.6246680","school"
"King's and Queen's Education Centre","6.3666273","5.6295539","school"
"Oxonian Grand Academy","6.3697357","5.6287018","school"
"Unicent Group of Schools","6.3675134","5.6354425","school"
"Blessed St. Paul Memorial Group of Schools","6.3655748","5.5870101","school"
"Destiny Education Centre","6.3712516","5.5867116","school"
"Divine Light Group of Schools","6.3561314","5.5722960","school"
"EWEKA PRIMARY SCHOOL","6.3625613","5.5829342","school"
"Imuagbonhen Memoral School","6.3618545","5.5750627","school"
"Jayfield Int'l high School","6.3654039","5.5686872","school"
"Learn Well International Group of Schools","6.3640803","5.5814789","school"
"New Life In Christ Group of Schools","6.3628146","5.5780384","school"
"Standard School","6.3633985","5.5886969","school"
"St. Phillips Education School","6.3617067","5.5766988","school"
"Useh Primary Health Care","6.3667686","5.5784004","school"
"Ayela Uwangue School","6.3598443","5.6262511","school"
"Bravura Secondary School","6.3631619","5.6315971","school"
"Unicent Group of School","6.3612250","5.6318298","school"
"Utimate Schools","6.3827000","5.6334472","school"
"Christ for All Ministry","6.3665403","5.5859620","school"
"Dominion Children Academy","6.3609441","5.5816914","school"
"Eweka Primary School","6.3626358","5.5830840","school"
"Goberts School","6.3659046","5.5834766","school"
"St Paul Memorial Secondary School","6.3656135","5.5864145","school"
"UNIFAC Group of School","6.3602402","5.5848040","school"
"Benhill Vocational Training Centre","6.3179068","5.6232117","school"
"Command Children School","6.3125176","5.6202250","school"
"Ebenezer Schools","6.3088874","5.6182550","school"
"F.s.p Creche Nusary and primary School","6.3123454","5.6233252","school"
"Fresh Olive School","6.3088468","5.6223226","school"
"Inomwan Fundation Secondary School","6.3107649","5.6269978","school"
"Inomwan Fundation Secondary School","6.3110792","5.6275626","school"
"Metropolitan Institute of Technology","6.3045686","5.6252940","school"
"Redeemer Int. Group of School","6.3062667","5.6263403","school"
"St Mary Dedidcation Brithish School","6.3117773","5.6278160","school"
"Federal government college, Ibillo","7.4484176","6.0599377","school"
"Ibillo primary school, Ibillo","7.4357383","6.0713895","school"
"Oyekpa primary school, Ekpesa","7.4240967","6.0736121","school"
"Abundant Grace School","6.3081437","5.6097525","school"
"Airforce Pry Sch","6.3020703","5.5919589","school"
"Amena International School","6.3060197","5.6005738","school"
"Arinze Primary School","6.3216861","5.6322456","school"
"Bro Pius School","6.3282314","5.6128811","school"
"Diamond School Academy","6.3050519","5.6039629","school"
"Ekhaguere Primary School","6.2956168","5.6004292","school"
"Emanuel Foundation School","6.3076661","5.5974794","school"
"Esonere model primary school/Gaorge Idah","6.3100917","5.6153175","school"
"Esonere model primary school/Gaorge Idah","6.3101945","5.6149264","school"
"Ezoti Primary School","6.3283772","5.6167001","school"
"Favour Group Of School","6.3326295","5.6304738","school"
"Great Oxford Int. Group Of Schools","6.3265638","5.6325843","school"
"Greter Tomorow Secondary School","6.3015573","5.6048314","school"
"Greter tomorro nurstry and primary school","6.3101844","5.6177719","school"
"Holy Mary Comprehensive College","6.3235126","5.6310120","school"
"Jessilac Montesory School","6.2886374","5.5966049","school"
"Kenzia Group of School","6.2976516","5.5863418","school"
"Lovers of Christ Academy","6.3073463","5.6123332","school"
"Milkon institute of information technology","6.3130978","5.6156310","school"
"Ogbe Primary School","6.3301205","5.6163843","school"
"Phelim School","6.3030319","5.6197271","school"
"South Point Royal School","6.3227550","5.6130292","school"
"Uvbi Primary School","6.3276686","5.6340850","school"
"Uwa Primary School","6.3296027","5.6336526","school"
"Winrose Group Of School","6.3199908","5.6323569","school"
"Zion Faith Group Of Schools","6.3277633","5.6303849","school"
"Omupo Grammar School","8.2823918","4.7833441","school"
"St Michael Primary School","8.2775770","4.7907577","school"
"LGEA Muslim Pry School","8.2717798","4.7989466","school"
"Sheik Muhammad Awwal School","8.2754665","4.7930805","school"
"Oyelagbawo Grammar School","8.3277018","4.8155794","school"
"LGEA Primary School","8.2980613","4.8040038","school"
"LGEA Primary School","8.3207328","4.8301216","school"
"Arisen Grace & Faith Schools","6.3295589","5.6320162","school"
"Asoro Primary School","6.3305854","5.6258209","school"
"Greater Tomorrow Group of Schools","6.3013993","5.6050151","school"
"Nigeria Prisons Staff Nursery/Primary/Secondary School","6.2946373","5.5954815","school"
"Word Sworth Gifted School","6.2990009","5.6076274","school"
"Firm Foundation Adult Education Center","6.3361639","5.6321197","school"
"Igbesamwan Model Primary School","6.3331990","5.6315929","school"
"Oredo Girls Junior/ Senior Secondary School","6.3235292","5.6298393","school"
