Date of Survey,How was the location Accessed,Location Accessibility,Location_type,Population Category,New Location,State,State code,LGA,LGA code,Ward,Site Type,Site Classification,Site Name,Site ID (SSID),Site Status (if Camp),Latitude,Longitude,new_locations/Site_Class,Reasons of Displacement,Reason for Returning,Households,Individuals,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-INDs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2014_2021_hh,idps_Returnees_integrate_resettled_2014_2021_ind,Total_Arrival Year - Households,Total_Arrival Year -Individuals,Male Infants (<1 y),Female Infants (<1 y),Male Children (1-5 y),Female Children (1-5 y),Male Children (6-12 y),Female Children (6-12 y),Male Youth (13-17 y),Female Youth (13-17 y),Male Adults (18-59 y),Female Adults (18-59 y),Male Elderly (60 +y ),Female Elderly (60 +y ),Returnee Status,initially displaced Country,Initially displaced State,Initially displaced LGA,Initially displaced WARD,Majority Year of Returns (2025) - HH,Majority Year of Returns (2025) - IND,Majority Year of Returns (2024) - HH,Majority Year of Returns (2024) - IND,Majority Year of Returns (2023) - HH,Majority Year of Returns (2023) - IND,Majority Year of Returns (2022) - HH,Majority Year of Returns (2022) - IND,Majority Year of Returns (2014-2021) - HH,Majority Year of Returns (2014-2021) - IND
2025-03-24,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Bille,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Bille,AD_H001,,9.263147,11.901162,Rural,Communal Clashes,,92.0,552.0,4.0,24.0,5.0,30.0,3.0,18.0,4.0,24.0,76.0,456.0,92.0,552.0,8.0,8.0,24.0,25.0,84.0,85.0,97.0,99.0,52.0,52.0,9.0,9.0,IDPs,,,,,,,,,,,,,,
2025-03-21,face to face,full,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Bille,Returnees,Returnees,Bille,AD_R001,,8.89807,12.3030361,Rural,Communal Clashes,Improved security,80.0,480.0,4.0,24.0,12.0,72.0,2.0,12.0,15.0,90.0,47.0,282.0,80.0,480.0,14.0,16.0,24.0,26.0,72.0,73.0,67.0,67.0,45.0,46.0,15.0,15.0,IDP Returnee,Nigeria,Adamawa,Demsa,Bille,4.0,24.0,12.0,72.0,2.0,12.0,15.0,90.0,47.0,282.0
2025-03-24,face to face,full,IDPs,IDPs Resettled,no,Adamawa,NGA002,Demsa,NGA002001,Bille,IDPs Resettled,IDPs Resettled,Gejembo,Gejembo,,9.26549,11.899502,Rural,Communal Clashes,,42.0,252.0,3.0,18.0,4.0,24.0,3.0,18.0,6.0,36.0,26.0,156.0,42.0,252.0,6.0,6.0,7.0,8.0,34.0,35.0,40.0,41.0,27.0,28.0,10.0,10.0,IDPs,,,,,,,,,,,,,,
2025-03-24,remotely  phone call,,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Tikka,AD_H004,,9.556226,12.253704,Rural,Natural Disaster,,80.0,480.0,6.0,36.0,32.0,192.0,2.0,12.0,3.0,18.0,37.0,222.0,80.0,480.0,14.0,14.0,20.0,20.0,59.0,61.0,120.0,120.0,16.0,16.0,9.0,11.0,IDPs,,,,,,,,,,,,,,
2025-03-24,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Borrong B,AD_H005,,9.535633,12.175444,Rural,Communal Clashes,,371.0,2226.0,4.0,24.0,10.0,60.0,2.0,12.0,3.0,18.0,352.0,2112.0,371.0,2226.0,18.0,18.0,21.0,22.0,319.0,321.0,424.0,437.0,158.0,162.0,163.0,163.0,IDPs,,,,,,,,,,,,,,
2025-03-24,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Borrong A,AD_H006,,9.536868,12.180862,Rural,Communal Clashes,,403.0,2418.0,5.0,30.0,15.0,90.0,3.0,18.0,4.0,24.0,376.0,2256.0,403.0,2418.0,21.0,22.0,143.0,144.0,285.0,285.0,340.0,343.0,264.0,270.0,148.0,153.0,IDPs,,,,,,,,,,,,,,
2025-03-24,remotely  phone call,,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Lasala,AD_H487,,9.56044,12.18448,Rural,Communal Clashes,,71.0,426.0,3.0,18.0,30.0,180.0,0.0,0.0,2.0,12.0,36.0,216.0,71.0,426.0,9.0,9.0,25.0,25.0,70.0,72.0,54.0,54.0,34.0,34.0,20.0,20.0,IDPs,,,,,,,,,,,,,,
2025-03-21,remotely  phone call,,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Borrong,Returnees,Returnees,Borrong A,AD_R002,,9.538987,12.178646,Rural,Communal Clashes,Improved security,218.0,1308.0,18.0,108.0,5.0,30.0,20.0,120.0,25.0,150.0,150.0,900.0,218.0,1308.0,25.0,28.0,45.0,47.0,127.0,131.0,163.0,165.0,241.0,243.0,46.0,47.0,IDP Returnee,Nigeria,Adamawa,Demsa,Gwamba,0.0,0.0,18.0,108.0,5.0,30.0,20.0,120.0,175.0,1050.0
2025-03-24,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Demsa,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Demsa,AD_H007,,9.456486,12.154671,Urban,Communal Clashes,,58.0,348.0,3.0,18.0,5.0,30.0,4.0,24.0,12.0,72.0,34.0,204.0,58.0,348.0,10.0,11.0,18.0,20.0,34.0,35.0,75.0,76.0,22.0,23.0,12.0,12.0,IDPs,,,,,,,,,,,,,,
2025-03-21,face to face,full,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Demsa,Returnees,Returnees,Demsa,AD_R003,,9.42646,12.13402,Urban,Insurgency,Improved security,129.0,774.0,4.0,24.0,15.0,90.0,3.0,18.0,15.0,90.0,92.0,552.0,129.0,774.0,17.0,17.0,24.0,27.0,50.0,53.0,135.0,137.0,94.0,96.0,62.0,62.0,IDP Returnee,Nigeria,Adamawa,Michika,Michika I,4.0,24.0,15.0,90.0,3.0,18.0,15.0,90.0,92.0,552.0
